Mes;Semana;Dia;Hora;Hora (24h);Cosumo (W);Velocidad viento;Generación Eólica;Irradiencia FV (W/m2);Irradiencia (90º) FV (W/m2);Generación (90º) FV (W);Generación (comvencional) FV (W);Generación Total (W);Excedente (W);Batería (W);Nuevo Consumo;Último Consumo;Nuevo Excedente;;;;;;;;;
Enero;1;Lunes;1;0:00:00;757,2;3,8401258;0;0;0;0;0;0;0;39242,8;757,2;0;0;;Potencia pico Wp;Eficiencia PV;Pérdidas;Área;Número FV;Potencia nominal;;
;;;2;1:00:00;362;3,707202;0;0;0;0;0;0;0;38881;362;0;0;;7500;0,231;0,8;32,4;12;625;;
;;;3;2:00:00;52;3,242127;0;0;0;0;0;0;0;38829;52;0;0;;;;;;;;;
;;;4;3:00:00;52;3,0009387;0;0;0;0;0;0;0;38777;52;0;0;;Potencia pico Wp (90º);Eficiencia PV;Pérdidas;Área;Potencia nominal;área de modulo (m^2);Nº modulos;max
;;;5;4:00:00;52;2,513899;0;0;0;0;0;0;0;38725;52;0;0;;12800;0,231;0,8;115,5;256;2,31;50;12,98701299
;;;6;5:00:00;52;2,4296749;0;0;0;0;0;0;0;38673;52;0;0;;;;4;;;;;
;;;7;6:00:00;399,6;2,5918438;0;0;0;0;0;0;0;38273;399,6;0;0;;Capacidad Total Batería (W);superficie de techo;;;30;m^2;;
;;;8;7:00:00;2365,45;2,585282;0;0;0;0;0;0;0;35908;2365,45;0;0;;40000;;;;;;;
;;;9;8:00:00;2160,45;2,7053583;0;19,61;27,33;200,8064;117,66;117,66;0;33865;2042,79;0;0;;;;;;;;;
;;;10;9:00:00;1311,81;2,8745434;0;188,03;252,1;1925,4272;1128,18;1128,18;0;33681;183,63;0;0;;;;;;;;;
;;;11;10:00:00;1676,25;2,5516052;0;394,21;352,83;4036,7104;2365,26;2365,26;689,01;34370;0;0;0;;;;;;;;;
;;;12;11:00:00;232;2,0544934;0;757,36;297,27;7755,3664;4544,16;4544,16;4312,16;38683;0;0;2994,66;;;;;;;;;
;;;13;12:00:00;52;1,4843547;0;878,15;125,01;8992,256;5268,9;5268,9;5216,9;40000;0;0;5216,9;;;;;;;;;
;;;14;13:00:00;2755;1,1312513;0;915,44;357,96;9374,1056;5492,64;5492,64;2737,64;40000;0;0;2737,64;;;;;;;;;
;;;15;14:00:00;2642;0,6021805;0;895,16;574,01;9166,4384;5370,96;5370,96;2728,96;40000;0;0;2728,96;;Cp;Diametro;Longitud;Área;Densidad;Cut-in speed;Número Aero;
;;;16;15:00:00;492;0,41191348;0;756,3;718,46;7744,512;4537,8;4537,8;4045,8;40000;0;0;4045,8;;0,35;1,03;1,03;1,0609;1,225;2;0;
;;;17;16:00:00;52;1,7957977;0;594,27;840,38;6085,3248;3565,62;3565,62;3513,62;40000;0;0;3513,62;;;;;;;;;
;;;18;17:00:00;52;2,2773204;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;19;18:00:00;632,2;1,904107;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;20;19:00:00;1343,7;1,751369;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;21;20:00:00;3239,45;2,2024565;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;22;21:00:00;5495,45;2,1631012;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;23;22:00:00;625,45;2,5021348;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;24;23:00:00;815,45;2,961794;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;;Martes;25;0:00:00;757,2;3,1975296;0;0;0;0;0;0;0;27039;757,2;0;0;;;;;;;;;
;;;26;1:00:00;362;3,4704216;0;0;0;0;0;0;0;26677;362;0;0;;;;;;;;;
;;;27;2:00:00;52;3,7763915;0;0;0;0;0;0;0;26625;52;0;0;;;;;;;;;
;;;28;3:00:00;52;4,045184;0;0;0;0;0;0;0;26573;52;0;0;;;;;;;;;
;;;29;4:00:00;52;4,216784;0;0;0;0;0;0;0;26521;52;0;0;;;;;;;;;
;;;30;5:00:00;52;4,272006;0;0;0;0;0;0;0;26469;52;0;0;;;;;;;;;
;;;31;6:00:00;399,6;4,459437;0;0;0;0;0;0;0;26070;399,6;0;0;;;;;;;;;
;;;32;7:00:00;2365,45;4,833436;0;0;0;0;0;0;0;23704;2365,45;0;0;;;;;;;;;
;;;33;8:00:00;2160,45;5,403505;0;26,86;45,49;275,0464;161,16;161,16;0;21705;1999,29;0;0;;;;;;;;;
;;;34;9:00:00;1311,81;5,8562984;0;232,49;321,72;2380,6976;1394,94;1394,94;83,13;21788;0;0;0;;;;;;;;;
;;;35;10:00:00;1676,25;6,2453365;0;232,6;237,54;2381,824;1395,6;1395,6;0;21507;280,65;0;0;;;;;;;;;
;;;36;11:00:00;232;6,623424;0;737,4;301,09;7550,976;4424,4;4424,4;4192,4;25700;0;0;0;;;;;;;;;
;;;37;12:00:00;52;6,7932096;0;862,68;128,8;8833,8432;5176,08;5176,08;5124,08;30824;0;0;0;;;;;;;;;
;;;38;13:00:00;2755;6,9853177;0;891,55;359,15;9129,472;5349,3;5349,3;2594,3;33418;0;0;0;;;;;;;;;
;;;39;14:00:00;2642;6,703961;0;872,87;563,84;8938,1888;5237,22;5237,22;2595,22;36013;0;0;0;;;;;;;;;
;;;40;15:00:00;492;5,8267164;0;791,12;745,07;8101,0688;4746,72;4746,72;4254,72;40000;0;0;4254,72;;;;;;;;;
;;;41;16:00:00;52;5,0082264;0;589,66;831,62;6038,1184;3537,96;3537,96;3485,96;40000;0;0;3485,96;;;;;;;;;
;;;42;17:00:00;52;4,7000937;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;43;18:00:00;632,2;4,9495497;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;44;19:00:00;1343,7;5,528347;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;45;20:00:00;3239,45;6,119301;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;46;21:00:00;5495,45;6,7014093;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;47;22:00:00;625,45;6,9270687;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;48;23:00:00;815,45;6,7217813;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;;Miércoles;49;0:00:00;757,2;6,424306;0;0;0;0;0;0;0;27039;757,2;0;0;;;;;;;;;
;;;50;1:00:00;362;6,259703;0;0;0;0;0;0;0;26677;362;0;0;;;;;;;;;
;;;51;2:00:00;52;6,5576687;0;0;0;0;0;0;0;26625;52;0;0;;;;;;;;;
;;;52;3:00:00;52;6,8323054;0;0;0;0;0;0;0;26573;52;0;0;;;;;;;;;
;;;53;4:00:00;52;6,8852077;0;0;0;0;0;0;0;26521;52;0;0;;;;;;;;;
;;;54;5:00:00;52;6,83544;0;0;0;0;0;0;0;26469;52;0;0;;;;;;;;;
;;;55;6:00:00;399,6;6,678625;0;0;0;0;0;0;0;26070;399,6;0;0;;;;;;;;;
;;;56;7:00:00;2365,45;6,399616;0;0;0;0;0;0;0;23704;2365,45;0;0;;;;;;;;;
;;;57;8:00:00;2160,45;6,203947;0;76,9;220,99;787,456;461,4;461,4;0;22005;1699,05;0;0;;;;;;;;;
;;;58;9:00:00;1311,81;6,01842;0;328,41;468,74;3362,9184;1970,46;1970,46;658,65;22664;0;0;0;;;;;;;;;
;;;59;10:00:00;1676,25;5,3780313;0;571,42;452,41;5851,3408;3428,52;3428,52;1752,27;24416;0;0;0;;;;;;;;;
;;;60;11:00:00;232;5,623628;0;781,44;301,96;8001,9456;4688,64;4688,64;4456,64;28873;0;0;0;;;;;;;;;
;;;61;12:00:00;52;5,926718;0;894,56;119,94;9160,2944;5367,36;5367,36;5315,36;34188;0;0;0;;;;;;;;;
;;;62;13:00:00;2755;6,4214106;0;948,9;358,7;9716,736;5693,4;5693,4;2938,4;37126;0;0;64,72;;;;;;;;;
;;;63;14:00:00;2642;6,5095515;0;908,33;577,64;9301,2992;5449,98;5449,98;2807,98;39934;0;0;2742,28;;;;;;;;;
;;;64;15:00:00;492;6,1608214;0;806,44;756,61;8257,9456;4838,64;4838,64;4346,64;40000;0;0;4346,64;;;;;;;;;
;;;65;16:00:00;52;5,6869717;0;618,4;869,6;6332,416;3710,4;3710,4;3658,4;40000;0;0;3658,4;;;;;;;;;
;;;66;17:00:00;52;5,719427;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;67;18:00:00;632,2;5,778099;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;68;19:00:00;1343,7;5,738826;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;69;20:00:00;3239,45;5,598812;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;70;21:00:00;5495,45;5,1748333;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;71;22:00:00;625,45;4,341136;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;72;23:00:00;815,45;4,819114;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;;Jueves;73;0:00:00;757,2;4,792329;0;0;0;0;0;0;0;27039;757,2;0;0;;;;;;;;;
;;;74;1:00:00;362;4,709437;0;0;0;0;0;0;0;26677;362;0;0;;;;;;;;;
;;;75;2:00:00;52;4,4761767;0;0;0;0;0;0;0;26625;52;0;0;;;;;;;;;
;;;76;3:00:00;52;3,6551785;0;0;0;0;0;0;0;26573;52;0;0;;;;;;;;;
;;;77;4:00:00;52;2,9859698;0;0;0;0;0;0;0;26521;52;0;0;;;;;;;;;
;;;78;5:00:00;52;2,7060578;0;0;0;0;0;0;0;26469;52;0;0;;;;;;;;;
;;;79;6:00:00;399,6;2,5279794;0;0;0;0;0;0;0;26070;399,6;0;0;;;;;;;;;
;;;80;7:00:00;2365,45;2,1520658;0;0;0;0;0;0;0;23704;2365,45;0;0;;;;;;;;;
;;;81;8:00:00;2160,45;2,066004;0;74,3;213,86;760,832;445,8;445,8;0;21989;1714,65;0;0;;;;;;;;;
;;;82;9:00:00;1311,81;2,1488383;0;324,74;465,39;3325,3376;1948,44;1948,44;636,63;22626;0;0;0;;;;;;;;;
;;;83;10:00:00;1676,25;2,3814795;0;566,01;450,32;5795,9424;3396,06;3396,06;1719,81;24346;0;0;0;;;;;;;;;
;;;84;11:00:00;232;1,6124371;0;742,88;306,37;7607,0912;4457,28;4457,28;4225,28;28571;0;0;0;;;;;;;;;
;;;85;12:00:00;52;1,0302778;0;847;137,52;8673,28;5082;5082;5030;33601;0;0;0;;;;;;;;;
;;;86;13:00:00;2755;0,5609128;0;929,7;355,45;9520,128;5578,2;5578,2;2823,2;36424;0;0;0;;;;;;;;;
;;;87;14:00:00;2642;0,5338019;0;856,54;557,48;8770,9696;5139,24;5139,24;2497,24;38922;0;0;1418,8;;;;;;;;;
;;;88;15:00:00;492;0,87879455;0;693,53;663,04;7101,7472;4161,18;4161,18;3669,18;40000;0;0;3669,18;;;;;;;;;
;;;89;16:00:00;52;1,7905782;0;543,39;765,39;5564,3136;3260,34;3260,34;3208,34;40000;0;0;3208,34;;;;;;;;;
;;;90;17:00:00;52;2,2004685;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;91;18:00:00;632,2;1,6969293;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;92;19:00:00;1343,7;1,0017965;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;93;20:00:00;3239,45;0,75118726;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;94;21:00:00;5495,45;1,2325169;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;95;22:00:00;625,45;1,4334556;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;96;23:00:00;815,45;1,3744491;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;;Viernes;97;0:00:00;757,2;1,576363;0;0;0;0;0;0;0;27039;757,2;0;0;;;;;;;;;
;;;98;1:00:00;362;1,9726136;0;0;0;0;0;0;0;26677;362;0;0;;;;;;;;;
;;;99;2:00:00;52;2,3010058;0;0;0;0;0;0;0;26625;52;0;0;;;;;;;;;
;;;100;3:00:00;52;2,320613;0;0;0;0;0;0;0;26573;52;0;0;;;;;;;;;
;;;101;4:00:00;52;2,8270905;0;0;0;0;0;0;0;26521;52;0;0;;;;;;;;;
;;;102;5:00:00;52;3,5918655;0;0;0;0;0;0;0;26469;52;0;0;;;;;;;;;
;;;103;6:00:00;399,6;4,373203;0;0;0;0;0;0;0;26070;399,6;0;0;;;;;;;;;
;;;104;7:00:00;2365,45;4,8668685;0;0;0;0;0;0;0;23704;2365,45;0;0;;;;;;;;;
;;;105;8:00:00;2160,45;5,3429947;0;62,99;170,24;645,0176;377,94;377,94;0;21922;1782,51;0;0;;;;;;;;;
;;;106;9:00:00;1311,81;5,423056;0;333,45;480,33;3414,528;2000,7;2000,7;688,89;22610;0;0;0;;;;;;;;;
;;;107;10:00:00;1676,25;5,332411;0;592,71;468,61;6069,3504;3556,26;3556,26;1880,01;24490;0;0;0;;;;;;;;;
;;;108;11:00:00;232;6,3140793;0;739,48;315,26;7572,2752;4436,88;4436,88;4204,88;28695;0;0;0;;;;;;;;;
;;;109;12:00:00;52;6,40211;0;909,26;116,51;9310,8224;5455,56;5455,56;5403,56;34099;0;0;0;;;;;;;;;
;;;110;13:00:00;2755;5,9507465;0;952,41;360,89;9752,6784;5714,46;5714,46;2959,46;37058;0;0;17,8;;;;;;;;;
;;;111;14:00:00;2642;5,6073527;0;878,9;568,4;8999,936;5273,4;5273,4;2631,4;39690;0;0;2321,14;;;;;;;;;
;;;112;15:00:00;492;4,2222714;0;797,08;746,64;8162,0992;4782,48;4782,48;4290,48;40000;0;0;4290,48;;;;;;;;;
;;;113;16:00:00;52;3,4481127;0;316,74;426,88;3243,4176;1900,44;1900,44;1848,44;40000;0;0;1848,44;;;;;;;;;
;;;114;17:00:00;52;4,1124506;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;115;18:00:00;632,2;5,320264;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;116;19:00:00;1343,7;5,6974964;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;117;20:00:00;3239,45;5,7711053;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;118;21:00:00;5495,45;5,9750485;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;119;22:00:00;625,45;5,401631;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;120;23:00:00;815,45;5,513325;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;;Sábado;121;0:00:00;757,2;6,289609;0;0;0;0;0;0;0;27039;757,2;0;0;;;;;;;;;
;;;122;1:00:00;362;7,07557;0;0;0;0;0;0;0;26677;362;0;0;;;;;;;;;
;;;123;2:00:00;52;7,1641765;0;0;0;0;0;0;0;26625;52;0;0;;;;;;;;;
;;;124;3:00:00;52;7,107643;0;0;0;0;0;0;0;26573;52;0;0;;;;;;;;;
;;;125;4:00:00;52;7,085696;0;0;0;0;0;0;0;26521;52;0;0;;;;;;;;;
;;;126;5:00:00;52;6,902414;0;0;0;0;0;0;0;26469;52;0;0;;;;;;;;;
;;;127;6:00:00;399,6;6,789528;0;0;0;0;0;0;0;26070;399,6;0;0;;;;;;;;;
;;;128;7:00:00;2365,45;6,628316;0;0;0;0;0;0;0;23704;2365,45;0;0;;;;;;;;;
;;;129;8:00:00;2160,45;6,4095044;0;77,62;228,03;794,8288;465,72;465,72;0;22009;1694,73;0;0;;;;;;;;;
;;;130;9:00:00;1311,81;5,3647027;0;332,03;480,28;3399,9872;1992,18;1992,18;680,37;22690;0;0;0;;;;;;;;;
;;;131;10:00:00;1676,25;5,6189013;0;578,7;463,68;5925,888;3472,2;3472,2;1795,95;24486;0;0;0;;;;;;;;;
;;;132;11:00:00;232;5,799327;0;775,51;310,83;7941,2224;4653,06;4653,06;4421,06;28907;0;0;0;;;;;;;;;
;;;133;12:00:00;52;6,306061;0;927,49;107,27;9497,4976;5564,94;5564,94;5512,94;34420;0;0;0;;;;;;;;;
;;;134;13:00:00;2755;6,4842725;0;972,49;358,28;9958,2976;5834,94;5834,94;3079,94;37500;0;0;579,52;;;;;;;;;
;;;135;14:00:00;2642;6,648671;0;925,74;581,99;9479,5776;5554,44;5554,44;2912,44;40000;0;0;2912,44;;;;;;;;;
;;;136;15:00:00;492;6,764559;0;831,57;772,37;8515,2768;4989,42;4989,42;4497,42;40000;0;0;4497,42;;;;;;;;;
;;;137;16:00:00;52;6,1781454;0;666,67;905,72;6826,7008;4000,02;4000,02;3948,02;40000;0;0;3948,02;;;;;;;;;
;;;138;17:00:00;52;6,021411;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;139;18:00:00;632,2;6,199853;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;140;19:00:00;1343,7;6,526849;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;141;20:00:00;3239,45;6,9277887;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;142;21:00:00;5495,45;7,267589;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;143;22:00:00;625,45;7,6279936;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;144;23:00:00;815,45;7,234883;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;;Domingo;145;0:00:00;757,2;6,6665335;0;0;0;0;0;0;0;27039;757,2;0;0;;;;;;;;;
;;;146;1:00:00;362;6,341728;0;0;0;0;0;0;0;26677;362;0;0;;;;;;;;;
;;;147;2:00:00;52;6,455352;0;0;0;0;0;0;0;26625;52;0;0;;;;;;;;;
;;;148;3:00:00;52;6,485575;0;0;0;0;0;0;0;26573;52;0;0;;;;;;;;;
;;;149;4:00:00;52;6,4637094;0;0;0;0;0;0;0;26521;52;0;0;;;;;;;;;
;;;150;5:00:00;52;6,3573112;0;0;0;0;0;0;0;26469;52;0;0;;;;;;;;;
;;;151;6:00:00;399,6;6,385985;0;0;0;0;0;0;0;26070;399,6;0;0;;;;;;;;;
;;;152;7:00:00;2365,45;6,4930205;0;0;0;0;0;0;0;23704;2365,45;0;0;;;;;;;;;
;;;153;8:00:00;2160,45;6,7644286;0;77,03;227,57;788,7872;462,18;462,18;0;22006;1698,27;0;0;;;;;;;;;
;;;154;9:00:00;1311,81;6,8398485;0;328,65;477,26;3365,376;1971,9;1971,9;660,09;22666;0;0;0;;;;;;;;;
;;;155;10:00:00;1676,25;7,3707666;0;574,75;462,62;5885,44;3448,5;3448,5;1772,25;24438;0;0;0;;;;;;;;;
;;;156;11:00:00;232;7,2434864;0;772,14;313,02;7906,7136;4632,84;4632,84;4400,84;28839;0;0;0;;;;;;;;;
;;;157;12:00:00;52;7,0563073;0;923,93;106,41;9461,0432;5543,58;5543,58;5491,58;34331;0;0;0;;;;;;;;;
;;;158;13:00:00;2755;6,705465;0;947,1;356,16;9698,304;5682,6;5682,6;2927,6;37258;0;0;185,74;;;;;;;;;
;;;159;14:00:00;2642;6,2535305;0;900,22;570,92;9218,2528;5401,32;5401,32;2759,32;40000;0;0;2759,32;;;;;;;;;
;;;160;15:00:00;492;6,105346;0;795,6;741,82;8146,944;4773,6;4773,6;4281,6;40000;0;0;4281,6;;;;;;;;;
;;;161;16:00:00;52;5,2145195;0;670,06;907,7;6861,4144;4020,36;4020,36;3968,36;40000;0;0;3968,36;;;;;;;;;
;;;162;17:00:00;52;4,4664655;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;163;18:00:00;632,2;4,335322;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;164;19:00:00;1343,7;4,686294;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;165;20:00:00;3239,45;5,0855556;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;166;21:00:00;5495,45;5,463955;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;167;22:00:00;625,45;4,9228473;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;168;23:00:00;815,45;5,1579604;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;2;Lunes;169;0:00:00;654,6;5,431641;0;0;0;0;0;0;0;27142;654,6;0;0;;;;;;;;;
;;;170;1:00:00;52;5,7032814;0;0;0;0;0;0;0;27090;52;0;0;;;;;;;;;
;;;171;2:00:00;52;5,6113443;0;0;0;0;0;0;0;27038;52;0;0;;;;;;;;;
;;;172;3:00:00;52;5,2879744;0;0;0;0;0;0;0;26986;52;0;0;;;;;;;;;
;;;173;4:00:00;52;5,010574;0;0;0;0;0;0;0;26934;52;0;0;;;;;;;;;
;;;174;5:00:00;52;5,153784;0;0;0;0;0;0;0;26882;52;0;0;;;;;;;;;
;;;175;6:00:00;1894,41;5,5752883;0;0;0;0;0;0;0;24987;1894,41;0;0;;;;;;;;;
;;;176;7:00:00;2590,45;5,8841248;0;0;0;0;0;0;0;22397;2590,45;0;0;;;;;;;;;
;;;177;8:00:00;1620,45;5,703286;0;49,89;122,36;510,8736;299,34;299,34;0;21076;1321,11;0;0;;;;;;;;;
;;;178;9:00:00;113,56;5,3749056;0;335,54;489,59;3435,9296;2013,24;2013,24;1899,68;22975;0;0;0;;;;;;;;;
;;;179;10:00:00;52;5,660383;0;579,79;468,33;5937,0496;3478,74;3478,74;3426,74;26402;0;0;0;;;;;;;;;
;;;180;11:00:00;52;5,2668233;0;777,57;315,15;7962,3168;4665,42;4665,42;4613,42;31016;0;0;0;;;;;;;;;
;;;181;12:00:00;52;4,580827;0;891,95;119,99;9133,568;5351,7;5351,7;5299,7;36315;0;0;1614,97;;;;;;;;;
;;;182;13:00:00;2788;3,7709546;0;956,05;357,37;9789,952;5736,3;5736,3;2948,3;39264;0;0;2211,87;;;;;;;;;
;;;183;14:00:00;362;3,1189783;0;939,27;585,24;9618,1248;5635,62;5635,62;5273,62;40000;0;0;5273,62;;;;;;;;;
;;;184;15:00:00;492;2,5862138;0;813,55;755,25;8330,752;4881,3;4881,3;4389,3;40000;0;0;4389,3;;;;;;;;;
;;;185;16:00:00;52;1,5618734;0;679,48;917,87;6957,8752;4076,88;4076,88;4024,88;40000;0;0;4024,88;;;;;;;;;
;;;186;17:00:00;52;0,8801732;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;187;18:00:00;1342,2;1,1363062;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;188;19:00:00;3055,45;1,3616064;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;189;20:00:00;3419,45;1,6661346;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;190;21:00:00;3547,15;1,6039414;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;191;22:00:00;625,45;2,2215092;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;192;23:00:00;815,45;3,0705323;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Martes;193;0:00:00;654,6;3,0140545;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;194;1:00:00;52;2,4299982;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;195;2:00:00;52;2,4531627;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
;;;196;3:00:00;52;2,5424757;0;0;0;0;0;0;0;26332;52;0;0;;;;;;;;;
;;;197;4:00:00;52;2,5727499;0;0;0;0;0;0;0;26280;52;0;0;;;;;;;;;
;;;198;5:00:00;52;2,3812711;0;0;0;0;0;0;0;26228;52;0;0;;;;;;;;;
;;;199;6:00:00;1894,41;2,449947;0;0;0;0;0;0;0;24334;1894,41;0;0;;;;;;;;;
;;;200;7:00:00;2590,45;2,4072156;0;0;0;0;0;0;0;21743;2590,45;0;0;;;;;;;;;
;;;201;8:00:00;1620,45;2,2877543;0;49,57;121,95;507,5968;297,42;297,42;0;20420;1323,03;0;0;;;;;;;;;
;;;202;9:00:00;113,56;1,9849161;0;225,84;318,11;2312,6016;1355,04;1355,04;1241,48;21662;0;0;0;;;;;;;;;
;;;203;10:00:00;52;1,5572612;0;290,33;287,99;2972,9792;1741,98;1741,98;1689,98;23352;0;0;0;;;;;;;;;
;;;204;11:00:00;52;1,588557;0;622,64;329,06;6375,8336;3735,84;3735,84;3683,84;27036;0;0;0;;;;;;;;;
;;;205;12:00:00;52;1,2257591;0;445,55;255,69;4562,432;2673,3;2673,3;2621,3;29657;0;0;0;;;;;;;;;
;;;206;13:00:00;2788;0,64037293;0;525,05;336,74;5376,512;3150,3;3150,3;362,3;30019;0;0;0;;;;;;;;;
;;;207;14:00:00;362;0,7226503;0;714,7;503,13;7318,528;4288,2;4288,2;3926,2;33945;0;0;0;;;;;;;;;
;;;208;15:00:00;492;1,377392;0;809,41;749,6;8288,3584;4856,46;4856,46;4364,46;38310;0;0;2674,38;;;;;;;;;
;;;209;16:00:00;52;2,1620555;0;678,88;914,66;6951,7312;4073,28;4073,28;4021,28;40000;0;0;4021,28;;;;;;;;;
;;;210;17:00:00;52;2,35799;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;211;18:00:00;1342,2;2,1071908;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;212;19:00:00;3055,45;1,750917;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;213;20:00:00;3419,45;1,365773;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;214;21:00:00;3547,15;1,4446865;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;215;22:00:00;625,45;2,269127;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;216;23:00:00;815,45;1,4404116;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Miércoles;217;0:00:00;654,6;0,98209965;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;218;1:00:00;52;0,6990995;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;219;2:00:00;52;0,89750326;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
;;;220;3:00:00;52;0,8784695;0;0;0;0;0;0;0;26332;52;0;0;;;;;;;;;
;;;221;4:00:00;52;1,315397;0;0;0;0;0;0;0;26280;52;0;0;;;;;;;;;
;;;222;5:00:00;52;1,7043542;0;0;0;0;0;0;0;26228;52;0;0;;;;;;;;;
;;;223;6:00:00;1894,41;1,835221;0;0;0;0;0;0;0;24334;1894,41;0;0;;;;;;;;;
;;;224;7:00:00;2590,45;1,6968455;0;0;0;0;0;0;0;21743;2590,45;0;0;;;;;;;;;
;;;225;8:00:00;1620,45;1,5325112;0;50,25;122,99;514,56;301,5;301,5;0;20424;1318,95;0;0;;;;;;;;;
;;;226;9:00:00;113,56;1,5262654;0;169,01;226,88;1730,6624;1014,06;1014,06;900,5;21325;0;0;0;;;;;;;;;
;;;227;10:00:00;52;1,2923638;0;447,26;400,83;4579,9424;2683,56;2683,56;2631,56;23957;0;0;0;;;;;;;;;
;;;228;11:00:00;52;1,7449015;0;706,83;328,5;7237,9392;4240,98;4240,98;4188,98;28145;0;0;0;;;;;;;;;
;;;229;12:00:00;52;2,1412714;0;876,5;126,46;8975,36;5259;5259;5207;33352;0;0;0;;;;;;;;;
